Galaxy_ID,name,RA,Dec,RA_hms,Dec_dms,z,z_source,Filter,Magnitude_zeropoint,Exposure_time,Bolometric_Luminosity,PSF_x_coordinate,PSF_y_coordinate,PSF_magnitude,Component_1_type,Component_1_new_type,Component_1_x_coordinate,Component_1_y_coordinate,Component_1_magnitude,Component_1_surface_brightness,Component_1_effective_radius,Component_1_sersic_index,Component_1_axis_ratio,Component_1_position_angle,Component_1_fourier_mode_amplitude,Component_1_fourier_mode_phase_angle,Component_1_Diskyness(-)/Boxyness(+),Component_1_truncation_x_coordinate,Component_1_truncation_y_coordinate,Component_1_truncation_break_radius,Component_1_truncation_softening_length,Component_1_truncation_axis_ratio,Component_1_truncation_position_angle,Component_1_spiral_inner_radius,Component_1_spiral_outer_radius,Component_1_spiral_cumulative_rotation_to_outer_radius,Component_1_asymptotic_spiral_powerlaw,Component_1_spiral_inclination_to_L.O.S.,Component_1_spiral_sky_position_angle,Component_2_type,Component_2_new_type,Component_2_x_coordinate,Component_2_y_coordinate,Component_2_magnitude,Component_2_surface_brightness,Component_2_effective_radius,Component_2_sersic_index,Component_2_axis_ratio,Component_2_position_angle,Component_2_fourier_mode_amplitude,Component_2_fourier_mode_phase_angle,Component_2_Diskyness(-)/Boxyness(+),Component_2_truncation_x_coordinate,Component_2_truncation_y_coordinate,Component_2_truncation_break_radius,Component_2_truncation_softening_length,Component_2_truncation_axis_ratio,Component_2_truncation_position_angle,Component_2_spiral_inner_radius,Component_2_spiral_outer_radius,Component_2_spiral_cumulative_rotation_to_outer_radius,Component_2_asymptotic_spiral_powerlaw,Component_2_spiral_inclination_to_L.O.S.,Component_2_spiral_sky_position_angle,Component_3_type,Component_3_new_type,Component_3_x_coordinate,Component_3_y_coordinate,Component_3_magnitude,Component_3_surface_brightness,Component_3_effective_radius,Component_3_sersic_index,Component_3_axis_ratio,Component_3_position_angle,Component_3_fourier_mode_amplitude,Component_3_fourier_mode_phase_angle,Component_3_Diskyness(-)/Boxyness(+),Component_3_truncation_x_coordinate,Component_3_truncation_y_coordinate,Component_3_truncation_break_radius,Component_3_truncation_softening_length,Component_3_truncation_axis_ratio,Component_3_truncation_position_angle,Component_3_spiral_inner_radius,Component_3_spiral_outer_radius,Component_3_spiral_cumulative_rotation_to_outer_radius,Component_3_asymptotic_spiral_powerlaw,Component_3_spiral_inclination_to_L.O.S.,Component_3_spiral_sky_position_angle,Component_4_type,Component_4_new_type,Component_4_x_coordinate,Component_4_y_coordinate,Component_4_magnitude,Component_4_surface_brightness,Component_4_effective_radius,Component_4_sersic_index,Component_4_axis_ratio,Component_4_position_angle,Component_4_fourier_mode_amplitude,Component_4_fourier_mode_phase_angle,Component_4_Diskyness(-)/Boxyness(+),Component_4_truncation_x_coordinate,Component_4_truncation_y_coordinate,Component_4_truncation_break_radius,Component_4_truncation_softening_length,Component_4_truncation_axis_ratio,Component_4_truncation_position_angle,Component_4_spiral_inner_radius,Component_4_spiral_outer_radius,Component_4_spiral_cumulative_rotation_to_outer_radius,Component_4_asymptotic_spiral_powerlaw,Component_4_spiral_inclination_to_L.O.S.,Component_4_spiral_sky_position_angle,Component_5_type,Component_5_new_type,Component_5_x_coordinate,Component_5_y_coordinate,Component_5_magnitude,Component_5_surface_brightness,Component_5_effective_radius,Component_5_sersic_index,Component_5_axis_ratio,Component_5_position_angle,Component_5_fourier_mode_amplitude,Component_5_fourier_mode_phase_angle,Component_5_Diskyness(-)/Boxyness(+),Component_5_truncation_x_coordinate,Component_5_truncation_y_coordinate,Component_5_truncation_break_radius,Component_5_truncation_softening_length,Component_5_truncation_axis_ratio,Component_5_truncation_position_angle,Component_5_spiral_inner_radius,Component_5_spiral_outer_radius,Component_5_spiral_cumulative_rotation_to_outer_radius,Component_5_asymptotic_spiral_powerlaw,Component_5_spiral_inclination_to_L.O.S.,Component_5_spiral_sky_position_angle,Total_Galaxy_Luminosity,Total_Galaxy_Luminosity_Min,Total_Galaxy_Luminosity_Max,Total_Host_Galaxy_Luminosity,Total_Host_Galaxy_Luminosity_Min,Total_Host_Galaxy_Luminosity_Max,PSF_Luminosity,PSF_Luminosity_Ratio,PSF_Luminosity_Ratio_Min,PSF_Luminosity_Ratio_Max,Bulge_Luminosity_Ratio,Bulge_Luminosity_Ratio_Min,Bulge_Luminosity_Ratio_Max,Pseudobulge_Luminosity_Ratio,Pseudobulge_Luminosity_Ratio_Min,Pseudobulge_Luminosity_Ratio_Max,Compact_Component_Luminosity_Ratio,Compact_Component_Luminosity_Ratio_Min,Compact_Component_Luminosity_Ratio_Max,upmag_cone,rpmag_cone,e_upmag_cone,e_rpmag_cone,umag,rmag,e_umag,e_rmag,Stellar_Mass,Err_Stellar_Mass,MBH,Err_MBH
g011,J011929.06-000839.5,19.8710833,-0.1443056,01 19 29.06,-00 08 39.5,0.09,SDSS,F850LP,24.847,1000.0,4.297117764351441E44,"(1580.7095, 0.002)","(895.8899, 0.002)","(18.5696, 1.6900001065088723)",bulge,pseudobulge,"(1581.832, 0.0056)","(898.2982, 0.0209)","(18.0916, 0.32048914178174587)","(20.1482, 0.0024)","(30.64, 4.419377734478012)","(2.0118, 0.24100622398602073)","(0.4809, 0.0017)","(2.7186, 0.0522)",,,,,,,,,,,,,,,,spiral_arms,spiral_arms,"(1579.7401, 0.0042)","(894.9381, 0.0036)","(18.431, 0.3200170151726311)","(21.104, 0.0039)","(40.0805, 4.405446742386066)","(9.237, 0.2506537252864996)","(0.2379, 0.0012)","(69.5, 0.4641)",,,,,,,,,,"(5.9713, 0.1466)","(25.4281, 0.0317)","(138.2619, 0.9062)","(0.4528, 0.003)",0.0,"(-33.9214, 0.4641)",disk,disk,"(1577.5557, 0.0908)","(893.2045, 0.1065)","(17.7682, 0.3202363033761163)","(21.6824, 0.0024)","(66.5884, 4.409671825657778)","(0.807, 0.24008800469827726)","(0.8446, 0.0038)","(61.1861, 1.1976)",,,,,,,,,,,,,,,,,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,5.20037380139673E43,3.39187135227594E43,1.00423657323552E44,4.3008505093647195E43,3.2021953573729E43,5.77644819586512E43,8.99523292032006E42,0.209150094864579,0.032836093819523,1.3321852855317,0.0,0.0,0.00725877018890692,0.324831446369327,0.180034556731691,0.593343284545708,0.324831446369327,0.180034556731691,0.593343284545708,18.498,17.636,,,18.264,17.16,,,9.798460563204419,0.3,7.13887345805,0.12359783041435132
g015,J015719.84+121502.6,29.3326667,12.2507222,01 57 19.84,+12 15 02.6,0.0517467318896211,Lick,F814W,25.934,600.0,2.57057294871867E44,"(1566.301, 0.0012)","(893.5293, 0.0018)","(17.756, 1.8871433764463434)",bulge,bulge,"(1566.6886, 0.0021)","(896.686, 0.0038)","(16.2234, 0.24293884382028058)","(16.5779, 0.0007)","(5.6747, 4.5727832742951495)","(20.0, 0.38501231387675733)","(0.9318, 0.0012)","(15.0974, 0.9502)",,,,,,,,,,,,,,,,bulge,pseudobulge,"(1572.7639, 0.0165)","(897.0737, 0.0409)","(16.6681, 0.24286710735860192)","(19.8347, 0.0018)","(80.1166, 4.575442027135025)","(1.4851, 0.31716562209157334)","(0.2376, 0.0003)","(16.4803, 0.0153)",,,,,,,,,,,,,,,,bulge,pseudobulge,"(1553.7604, 0.016)","(900.7829, 0.0297)","(16.1322, 0.24286537801163566)","(20.7047, 0.0017)","(104.586, 4.579236669323117)","(1.787, 0.3171535146214443)","(0.3568, 0.0005)","(16.0607, 0.0227)",,,,,,,,,,,,,,,,,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,8.24073830576724E43,6.17057285182223E43,1.32816711407057E44,7.570106678298441E43,6.052642204976671E43,9.46801632076385E43,6.706316274688E42,0.0885894553363865,0.012455686898948,0.630080994512803,0.36343105229882494,0.232321549599717,0.57002490272729,0.24129150462868,0.154254623607972,0.378931574570667,0.36343105229882494,0.232321549599717,0.57002490272729,17.172,16.615,0.044000000000000004,0.016,17.026,15.700999999999999,0.011000000000000001,0.003,10.047489331376985,0.3,7.07054170639,0.1198003619038229
g018,J032548.58+135338.6,51.4524167,13.8940556,03 25 48.58,+13 53 38.6,0.148,Lick,F814W,25.934,1000.0,1.5378668128213E45,"(1560.2395, 0.0036)","(899.5018, 0.0056)","(20.3053, 1.392881872381202)",disk,disk,"(1579.7871, 0.0798)","(889.1469, 0.0534)","(16.9261, 0.16143303154394822)","(21.7288, 0.0006)","(182.7339, 4.0990195442922435)","(1.1627, 0.27429229493593965)","(0.2082, 0.0002)","(54.2325, 0.0153)",,,,,,,,,,,,,,,,bulge,bulge,"(1560.8113, 0.0048)","(899.451, 0.005)","(18.3146, 0.1614583341716041)","(18.6118, 0.0009)","(11.1537, 4.0860202183163254)","(3.7257, 0.27554372259448134)","(0.5422, 0.0009)","(66.6075, 0.0778)",,,,,,,,,,,,,,,,,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,1.77355199552655E44,1.49363591277045E44,2.2038390136377503E44,1.71389617504129E44,1.4770972620946201E44,1.98865719575394E44,5.965582048525979E42,0.0348071378850138,0.00831649150549322,0.145678841472275,0.217745061377766,0.161729619038779,0.297679492040746,0.0,0.0,0.00451790524041851,0.782254938622234,0.581031509047264,1.05768417834953,21.34,18.918,0.077,0.013000000000000001,20.264,17.418,0.083,0.006999999999999999,10.911862830841855,0.3,7.99262104789,0.12164353357803814
g021,J072217.54+303050.2,110.5730833,30.5139444,07 22 17.54,+30 30 50.2,0.1,SDSS,F850LP,24.847,1000.0,2.00151250647431E45,"(1308.356, 0.0023)","(1421.278, 0.002)","(17.5098, 1.6900001065088723)",bulge,pseudobulge,"(1309.9501, 0.0002)","(1423.4053, 0.0003)","(17.0868, 0.32000056249950565)","(19.4702, 0.0012)","(30.6233, 4.400006913630932)","(1.3485, 0.24000208332429115)","(0.7809, 0.0002)","(-50.1299, 0.0014)",,,,,,,,,,,,,,,,bulge,bulge,"(1307.7742, 0.0007)","(1424.0228, 0.0007)","(16.2661, 0.3200000624999939)","(10.9621, 0.0005)","(1.758, 4.4)","(0.05, 0.24000002083333244)","(0.4464, 0.0023)","(-21.9189, 0.0)",,,,,,,,,,,,,,,,disk,disk,"(1307.5981, 0.0022)","(1415.6685, 0.0006)","(16.3765, 0.3200082655182519)","(21.5472, 0.0012)","(194.0444, 4.400000001136364)","(0.504, 0.2400100831215222)","(0.3799, 0.0001)","(2.2324, 0.0169)",,,,,,,,,,,,,,,,disk,disk,"(1308.207, 0.0075)","(1424.6697, 0.004)","(17.9871, 0.32001501527272125)","(21.1201, 0.0039)","(87.9867, 4.400000001136364)","(0.0467, 0.24000002083333244)","(0.4423, 0.0009)","(-4.2594, 0.067)",,,,,,,,,,,,,,,,,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,2.72005394752023E44,1.8662086859752297E44,4.66806578129473E44,2.42130012852757E44,1.80321262089223E44,3.2512496000758997E44,2.9875381899265795E43,0.123385703190102,0.0193759547349187,0.7857177599598829,0.38792238438487,0.215150881027886,0.701008014444812,0.182164959060879,0.101032925561916,0.330022415358251,0.182164959060879,0.101032925561916,0.330022415358251,16.441,16.387,0.012,0.008,16.514,16.005,0.006999999999999999,0.003,10.056592937245941,0.3,7.4831318153,0.11974114464452812
g024,J074416.00+355840.3,116.0666667,35.9778611,07 44 16.00,+35 58 40.3,0.133,SDSS,F850LP,24.847,660.0,1.52140011498471E45,"(1573.3813, 0.0055)","(899.9187, 0.0059)","(19.8911, 1.6900032218904197)",bulge,pseudobulge,"(1583.8978, 0.4627)","(912.54, 0.1118)","(19.7783, 0.32064324412031514)","(21.2909, 0.0075)","(49.9043, 4.456756780440235)","(0.506, 0.24018011991003752)","(0.1986, 0.0015)","(74.5204, 0.1203)",,,,,,,,,,,,,,,,disk,disk,"(1561.8927, 0.1317)","(900.7766, 0.0459)","(17.4575, 0.3200375134261607)","(20.9003, 0.0014)","(113.1279, 4.408654126828278)","(0.5916, 0.2400163327775841)","(0.2143, 0.0006)","(75.3913, 0.0303)",,,,,,,,,,,,,,,,bulge,pseudobulge,"(1578.6869, 0.0958)","(900.4653, 0.0482)","(18.3697, 0.32153687191362673)","(22.1528, 0.0061)","(59.9949, 5.060286601567149)","(3.344, 0.2523568901377571)","(0.4838, 0.006)","(59.2164, 0.7112)",,,,,,,,,,,,,,,,bulge,pseudobulge,"(1571.8813, 0.0388)","(900.0435, 0.0136)","(18.167, 0.32058148730081093)","(19.283, 0.002)","(15.7934, 4.40188768711788)","(2.0641, 0.24037938763546263)","(0.7514, 0.0028)","(-88.2048, 0.6117)",,,,,,,,,,,,,,,,,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,1.2600928386600898E44,9.05139476037203E43,1.90205579970086E44,1.1985356748061699E44,8.92159397702021E43,1.61012501747538E44,6.155716385391591E42,0.0513603100415605,0.00806153447359932,0.327218188787141,0.0,0.0,0.00544593037961966,0.0569833052962252,0.0315705179185151,0.108298097141419,0.0569833052962252,0.0315705179185151,0.108298097141419,21.426,18.61,0.10400000000000001,0.015,20.392,17.419,0.079,0.006,10.82635538843682,0.3,7.38631594732,0.1208945766183897
g025,J080559.94+260602.4,121.49975,26.1006667,08 05 59.94,+26 06 02.4,0.136,SDSS,F850LP,24.847,1000.0,1.4470475385609902E45,"(1598.0157, 0.0008)","(1645.1816, 0.0009)","(16.9009, 1.6900000473372774)",disk,disk,"(1599.9365, 0.2335)","(1650.5288, 0.1654)","(17.0319, 0.3200275613130844)","(22.3826, 0.0027)","(196.9072, 4.41754285661158)","(0.1606, 0.24000168749406742)","(0.5847, 0.0016)","(72.177, 0.1139)",,,,,,,,,,,,,,,,disk,disk,"(1599.5928, 0.0877)","(1647.4625, 0.0519)","(17.5355, 0.3200525581838083)","(20.7856, 0.0014)","(72.9498, 4.404336631094404)","(0.5324, 0.2400151870194884)","(0.447, 0.0012)","(-65.4405, 0.0755)",,,,,,,,,,,,,,,,disk,disk,"(1590.877, 0.3289)","(1636.8048, 0.4979)","(17.5018, 0.3201788406500342)","(23.012, 0.006)","(144.095, 4.645919957338912)","(0.8906, 0.240172458870704)","(0.7672, 0.0062)","(-3.7728, 0.8247)",,,,,,,,,,,,,,,,bulge,bulge,"(1598.5667, 0.0219)","(1644.7175, 0.0127)","(18.3826, 0.3200140621910231)","(18.7439, 0.0017)","(13.9592, 4.400208158712495)","(0.7714, 0.24008006997666423)","(0.7416, 0.0013)","(-80.6159, 0.2674)",,,,,,,,,,,,,,,,,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,3.3227430907856498E44,1.93264929098553E44,7.91197299874608E44,2.30790220358802E44,1.7186570940706E44,3.0991712182328E44,1.01484088719763E44,0.43972438936965696,0.069048200904803,2.80032695126766,0.11233124038662,0.0622969466675407,0.205498656955329,0.0,0.0,0.0029476781729382198,0.389745001894614,0.216143092868263,0.705728248001974,16.647000000000002,16.679000000000002,0.013000000000000001,0.015,16.677,16.336,0.008,0.004,10.009886958659731,0.3,7.60708495906,0.12435204201843086
g026,J081324.01+542236.8,123.3500417,54.3768889,08 13 24.01,+54 22 36.8,0.043,SDSS,F775W,25.654,660.0,1.26855049318288E44,"(1592.4863, 0.0014)","(1662.5164, 0.0016)","(18.8139, 1.6900001893491017)",bulge,pseudobulge,"(1593.046, 0.0078)","(1663.8993, 0.0073)","(17.6825, 0.3200022499920899)","(18.8417, 0.0007)","(18.4288, 4.400069327862915)","(1.3223, 0.24003501827858367)","(0.7046, 0.0005)","(49.2212, 0.1124)",,,,,,,,,,,,,,,,disk,disk,"(1594.5485, 0.0847)","(1663.6934, 0.0766)","(15.4985, 0.3200009999984375)","(21.4081, 0.0004)","(201.9423, 4.402236260129618)","(0.4258, 0.24000052083276818)","(0.7348, 0.0003)","(45.3226, 0.0596)",,,,,,,,,,,,,,,,spiral_arms,spiral_arms,"(1596.7432, 0.0717)","(1662.3123, 0.0363)","(16.8738, 0.32000976547599297)","(20.9387, 0.0011)","(123.5058, 4.4043721958980715)","(0.5302, 0.24000468745422454)","(0.3325, 0.0005)","(18.6731, 3100.1804)",,,,,,,,,,"(163.4878, 0.4629)","(240.5329, 0.8465)","(-39.944, 0.4789)","(-3.9064, 0.0864)",0.0,"(-98.8566, 3100.1804)",,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,5.67674252817405E43,4.12987005548071E43,8.245150754143269E43,5.49360623596391E43,4.0912534281124604E43,7.376641414768499E43,1.8313629221014398E42,0.0333362611632487,0.00523498773994021,0.212284414699646,0.0,0.0,0.00163698098539544,0.0945098099442292,0.0524173238809322,0.172040647450574,0.0945098099442292,0.0524173238809322,0.172040647450574,18.83,17.358,0.034,0.018000000000000002,17.109,15.092,0.017,0.003,10.534909610467368,0.3,6.56394186926,0.12613877726542613
g027,J082549.54+471027.9,126.4564167,47.1744167,08 25 49.54,+47 10 27.9,0.132,SDSS,F850LP,24.847,1000.0,1.47615355859696E45,"(1608.4352, 0.0012)","(1660.9807, 0.0012)","(17.763, 1.6900001449704078)",bulge,bulge,"(1607.7203, 0.0132)","(1660.7157, 0.0142)","(17.8856, 0.32001806199025706)","(18.8021, 0.0012)","(14.7535, 4.400326460616303)","(1.3847, 0.24019192326137861)","(0.8613, 0.0015)","(19.6379, 0.4514)",,,,,,,,,,,,,,,,disk,disk,"(1597.9918, 0.296)","(1664.4067, 0.3275)","(16.1575, 0.3200249990235138)","(22.4887, 0.0014)","(219.9645, 4.429446693437003)","(0.4034, 0.240011999700015)","(0.9298, 0.0013)","(-10.1721, 1.1043)",,,,,,,,,,,,,,,,disk,disk,"(1607.9155, 0.0643)","(1662.4121, 0.1001)","(16.7681, 0.32000976547599297)","(20.9685, 0.0011)","(119.2483, 4.406832432711732)","(0.6014, 0.24000918732415225)","(0.3853, 0.0008)","(32.6034, 0.0445)",,,,,,,,,,,,,,,,,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,3.775149159309969E44,2.5818988760147898E44,6.530861896535511E44,3.34521030453618E44,2.49124077092709E44,4.49191106400497E44,4.29938854773788E43,0.128523714694643,0.0201825244970153,0.818447922145946,0.114800365135178,0.0636690429100512,0.208917102875937,0.0,0.0,0.00192288351479755,0.114800365135178,0.0636690429100512,0.208917102875937,17.947,17.608,0.016,0.013000000000000001,17.317,16.168,0.013999999999999999,0.004,10.607184369705665,0.3,8.32556564352,0.12788308375314014
g028,J090954.61+564235.3,137.4775417,56.7098056,09 09 54.61,+56 42 35.3,0.111,SDSS,F850LP,24.847,860.0,3.94786115268659E44,"(1559.8933, 0.0028)","(921.3221, 0.0031)","(18.841, 1.6900021568033574)",bulge,bulge,"(1560.2004, 0.0079)","(923.1249, 0.0081)","(18.2176, 0.32001501527272125)","(17.1252, 0.0037)","(5.2159, 4.400048222463022)","(2.1107, 0.24066659510617588)","(0.9048, 0.0014)","(-78.0445, 1.0471)",,,,,,,,,,,,,,,,disk,disk,"(1560.2954, 0.1048)","(921.0182, 0.1198)","(17.3434, 0.32000399997500034)","(17.3434, 0.0)","(94.8325, 4.405357629069404)","(0.6216, 0.24002133238526946)","(0.94, 0.0015)","(42.7355, 1.248)",,,,,,,,,,,,,,,,bulge,pseudobulge,"(1559.5239, 0.0431)","(921.8455, 0.0566)","(18.7641, 0.3200359979752278)","(20.3494, 0.0095)","(36.9349, 4.401730064417854)","(0.4363, 0.24002133238526946)","(0.3049, 0.0012)","(37.0747, 0.0639)",,,,,,,,,,,,,,,,,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,8.57270919349875E43,5.799152873449231E43,1.52375028074109E44,7.476642382476219E43,5.568033599372681E43,1.00394834772395E44,1.0960668110225299E43,0.146598801300366,0.0230210323669059,0.93354668886284,0.260309740488211,0.144370896082669,0.4755650811253,0.157358576863066,0.0872712625602545,0.289943187928024,0.260309740488211,0.144370896082669,0.4755650811253,17.648,17.483,0.019,0.019,17.47,17.052,0.011000000000000001,0.005,9.67495390821752,0.3,6.91390315751,0.11361265348833555
g029,J092721.42+060957.9,141.83925,6.1660833,09 27 21.42,+06 09 57.9,0.078,SDSS,F814W,25.934,1000.0,7.094654345077671E44,1612.8169,1658.5284,"(17.442, 1.7557142857142856)",disk,disk,"(1606.6232, 0.2716)","(1664.5314, 0.2194)","(17.0231, 0.294288160877486)","(24.6472, 0.0053)","(281.3091, 4.465085093139837)","(0.1195, 0.265714963132777)","(0.8127, 0.0008)","(-65.2125, 0.202)",,,,,,,,,,,,,,,,bar,bar,"(1600.8169, 0.5601)","(1658.6874, 0.0823)","(16.8647, 0.2942857142857143)","(21.5427, 0.0007)","(456.0421, 22.79068763352654)","(0.944, 0.2657540999357358)","(0.1418, 0.0061)","(-80.7404, 0.0166)",,,"(-0.7409, 0.0079)","(1609.1492, 0.0815)","(1652.8226, 0.2086)","(19.9164, 0.7624)","(232.6522, 1.0365)","(0.7713, 0.003)","(-81.1605, 0.2271)",,,,,,,bulge,pseudobulge,"(1611.6935, 0.0101)","(1659.7015, 0.0094)","(18.8085, 0.2944875067513953)","(17.6543, 0.0029)","(7.3598, 4.457176820474996)","(0.5061, 0.26574290514076393)","(0.7835, 0.0012)","(-71.3293, 0.2334)",,,,,,,,,,,,,,,,bulge,pseudobulge,"(1612.2373, 0.0096)","(1659.0342, 0.008)","(17.1463, 0.2943838338507281)","(19.2553, 0.0007)","(27.1429, 4.458757949135565)","(1.2833, 0.2659544540568047)","(0.7847, 0.0007)","(-75.6872, 0.0992)",,,,,,,,,,,,,,,,,,,,"(nan, nan)",,"(nan, nan)","(nan, nan)",,,,,,,,,,,,,,,,,,1.21827000851077E44,8.09892363336768E43,2.3845528093411E44,1.00712280225447E44,7.679841037586801E43,1.32072569844019E44,2.11147206256304E43,0.209653883105065,0.0317312365675794,1.38522022226022,0.0,0.0,0.00259113426080787,0.0595528994207135,0.0346240374226789,0.105021355658885,0.308363460399108,0.179315341168127,0.532874950514314,17.99,16.957,0.019,0.025,17.547,16.078,0.013000000000000001,0.003,10.304033638985713,0.3,7.36787675831,0.1165710623444208
